,Timestamp,Age,Gender,City,Position,Years of experience,Your level,Current Salary,Salary one year ago,Salary two years ago,Are you getting any Stock Options?,Main language at work,Company size,Company type
0,14/12/2018 12:41:33,43,M,MÃ_nchen,QA Ingenieur,11,Senior,77000,76200,68000,No,Deutsch,100-1000,Product
1,14/12/2018 12:42:09,33,F,MÃ_nchen,Senior PHP Magento developer ,8,Senior,65000,55000,55000,No,Deutsch,50-100,Product
2,14/12/2018 12:47:36,32,M,MÃ_nchen,Software Engineer,10,Senior,88000,73000,54000,No,Deutsch,1000+,Product
3,14/12/2018 12:50:15,25,M,MÃ_nchen,Senior Frontend Developer,6,Senior,78000,55000,45000,Yes,English,1000+,Product
4,14/12/2018 12:50:31,39,M,MÃ_nchen,UX Designer,10,Senior,69000,60000,52000,No,English,100-1000,Ecom retailer
5,14/12/2018 12:52:24,37,M,MÃ_nchen,Project Manager,8,Senior,98000,96000,96000,Yes,Deutsch,1000+,Insurance
8,14/12/2018 12:54:20,32,M,Berlin,Test Automation Engineer,3,Senior,65000,58000,50000,Yes,English,100-1000,Startup
9,14/12/2018 12:55:44,30,M,MÃ_nchen,Frontend Developer,8,Senior,60000,48000,42000,No,Deutsch,100-1000,Agency
10,14/12/2018 12:56:28,40,M,Berlin,Software Engineer,18,Senior,70000,57500,54000,No,English,100-1000,Product
11,14/12/2018 12:56:31,33,M,Karlsruhe,Senior Full-stack .Net Developer,8,Senior,70000,66000,48000,No,English,100-1000,Product
13,14/12/2018 13:00:13,29,M,Berlin,Front-end engineer,6,Middle,55000,55000,34000,No,English,100-1000,Product
14,14/12/2018 13:03:34,32,M,MÃ_nchen,Software Developer,11,Middle,94500,91300,86300,No,Russian,1000+,Product
15,14/12/2018 13:06:18,25,F,MÃ_nchen,QA Test Engineer,3,Junior,46000,44000,44000,No,English,100-1000,Startup
16,14/12/2018 13:07:09,33,M,MÃ_nchen,QA Manager,11,Senior,68000,65000,63000,No,Deutsch,1000+,Product
18,14/12/2018 13:16:09,44,M,Berlin,Frontend Developer,17,Senior,62500,62500,54000,No,Deutsch,Oct-50,Agency
20,14/12/2018 13:25:17,29,M,MÃ_nchen,Cloud Consulting,10,Senior,132250,92600,92600,Yes,English,1000+,Big Tech
21,14/12/2018 13:25:49,34,F,Berlin,QA,10,Senior,53000,53000,48000,Yes,English,100-1000,Startup
22,14/12/2018 13:25:58,28,M,MÃ_nchen,Frontend Engineer,5,Middle,52000,40000,40000,Yes,English,100-1000,Product
23,14/12/2018 13:28:36,35,M,Berlin,Head of IT,10,Senior,95000,95000,90000,No,English,Oct-50,Consultancy
24,14/12/2018 13:29:27,32,M,MÃ_nchen,Senior Software Engineer,4,Senior,72000,60000,30000,No,English,1000+,Agency
25,14/12/2018 13:29:56,40,F,MÃ_nchen,Operations manager,15,Middle,55000,55000,55000,No,English,100-1000,Product
27,14/12/2018 13:32:43,38,M,MÃ_nchen,Product Manager,12,Senior,72000,72000,68000,No,English,100-1000,Product
31,14/12/2018 13:40:40,35,F,MÃ_nchen,Software Engineer,12,Senior,84000,84000,84000,No,English,100-1000,Startup
32,14/12/2018 13:43:36,32,M,MÃ_nchen,C# Developer,10,Senior,60000,60000,60000,No,English,50-100,Product
33,14/12/2018 13:43:50,27,M,Augsburg ,ERP/BI Specialist,4,Middle,57000,52000,38000,No,Deutsch,100-1000,Product
37,14/12/2018 13:44:09,32,M,MÃ_nchen,C++ developer,10,Senior,72000,56000,55000,No,English,100-1000,Product
39,14/12/2018 13:44:52,33,M,MÃ_nchen,PM,9,Middle,90000,100000,85000,No,Deutsch,1000+,Product
41,14/12/2018 13:44:55,41,M,MÃ_nchen,Software Architect,20,Senior,113000,80000,72000,No,Deutsch,100-1000,Startup
43,14/12/2018 13:45:55,30,M,MÃ_nchen,Embedded Software Engineer,7,Middle,75000,72000,67000,No,English,50-100,Product
45,14/12/2018 13:46:29,43,M,Berlin,Data Engineer,10,Senior,84000,78000,76000,No,English,50-100,Product
49,14/12/2018 13:47:36,31,M,Frankfurt,Ruby developer,11,Senior,65000,61000,55000,No,English,100-1000,Product
52,14/12/2018 13:52:38,28,M,MÃ_nchen,Java Fullstack Developer,7.5,Middle,65000,65000,60000,No,Deutsch,50-100,Agency
53,14/12/2018 13:54:01,32,M,MÃ_nchen,Senior Software Developer,10,Senior,78000,65000,60000,No,English,Oct-50,Startup
55,14/12/2018 13:54:24,34,M,Hamburg,Scala Developer,10,Senior,71000,68000,68000,Yes,English,50-100,Startup
56,14/12/2018 13:54:51,29,M,MÃ_nchen,DevOps,9,Senior,75000,58000,55000,No,Deutsch,100-1000,Product
57,14/12/2018 13:55:13,27,F,Frankfurt,Consultant,1,Junior,49000,45000,10001,No,English,1000+,Consultancy
